measurement_type,category,attack_case,run,accepted,rejected,rejection_stage,reason,latency_ms,budget_invariant_violation
measured,context,wrong_request,19,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",2.087999999523163,0
measured,context,wrong_request,20,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",2.3049999997019768,0
measured,context,wrong_request,21,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",2.013399999588728,0
measured,context,wrong_request,22,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",1.905799999833107,0
measured,context,wrong_request,23,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",2.4579999996349216,0
measured,context,wrong_request,24,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",2.301099999807775,0
measured,context,wrong_request,25,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",2.6098000006750226,0
measured,context,wrong_request,26,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",1.966699999757111,0
measured,context,wrong_request,27,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",2.5921999998390675,0
measured,context,wrong_request,28,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",1.8915000008419156,0
measured,context,wrong_request,29,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'RequestNotFound(""0x1b09937d9ba84731043040eaf13f9dbb05bbba183da8ac5e9df29042b3759b02"")'",2.212299999780953,0
measured,context,wrong_asset,0,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',3.799100000411272,0
measured,context,wrong_asset,1,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',2.912399999797344,0
measured,context,wrong_asset,2,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',3.300700000487268,0
measured,context,wrong_asset,3,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',2.142799999564886,0
measured,context,wrong_asset,4,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',2.743600000627339,0
measured,context,wrong_asset,5,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',2.9731000000610948,0
measured,context,wrong_asset,6,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',2.24379999935627,0
measured,context,wrong_asset,7,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',2.4847999997437,0
measured,context,wrong_asset,8,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',2.951700000092387,0
measured,context,wrong_asset,9,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',2.184000000357628,0
measured,context,wrong_asset,10,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',2.113800000399351,0
measured,context,wrong_asset,11,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',2.9424999998882413,0
measured,context,wrong_asset,12,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',2.5274999998509884,0
measured,context,wrong_asset,13,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',2.653599999845028,0
measured,context,wrong_asset,14,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',2.2917999997735023,0
measured,context,wrong_asset,15,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',2.3519999999552965,0
measured,context,wrong_asset,16,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',2.2257999991998076,0
measured,context,wrong_asset,17,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',2.528100000694394,0
measured,context,wrong_asset,18,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',3.2066999999806285,0
measured,context,wrong_asset,19,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',2.2237999998033047,0
measured,context,wrong_asset,20,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',2.637300000526011,0
measured,context,wrong_asset,21,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',2.4477000003680587,0
measured,context,wrong_asset,22,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',2.412100000306964,0
measured,context,wrong_asset,23,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',2.3275000005960464,0
measured,context,wrong_asset,24,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',2.3192999996244907,0
measured,context,wrong_asset,25,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',2.4497999995946884,0
measured,context,wrong_asset,26,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',2.584700000472367,0
measured,context,wrong_asset,27,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',3.2804000005126,0
measured,context,wrong_asset,28,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',2.140800000168383,0
measured,context,wrong_asset,29,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(1)',2.5296000000089407,0
measured,context,wrong_consumer_id,0,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',3.6765999998897314,0
measured,context,wrong_consumer_id,1,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',2.5692999996244907,0
measured,context,wrong_consumer_id,2,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',2.2857999997213483,0
measured,context,wrong_consumer_id,3,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',2.592600000090897,0
measured,context,wrong_consumer_id,4,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',2.204200000502169,0
measured,context,wrong_consumer_id,5,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',2.6715000001713634,0
measured,context,wrong_consumer_id,6,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',2.5765000004321337,0
measured,context,wrong_consumer_id,7,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',2.703199999406934,0
measured,context,wrong_consumer_id,8,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',2.499699999578297,0
measured,context,wrong_consumer_id,9,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',2.5614999998360872,0
measured,context,wrong_consumer_id,10,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',2.662800000049174,0
measured,context,wrong_consumer_id,11,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',2.3442999999970198,0
measured,context,wrong_consumer_id,12,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',2.5093999998643994,0
measured,context,wrong_consumer_id,13,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',3.9532000003382564,0
measured,context,wrong_consumer_id,14,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',2.5365000003948808,0
measured,context,wrong_consumer_id,15,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',2.3893999997526407,0
measured,context,wrong_consumer_id,16,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',2.3919000001624227,0
measured,context,wrong_consumer_id,17,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',2.8258000006899238,0
measured,context,wrong_consumer_id,18,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',2.580299999564886,0
measured,context,wrong_consumer_id,19,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',3.1531999995931983,0
measured,context,wrong_consumer_id,20,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',3.108700000680983,0
measured,context,wrong_consumer_id,21,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',2.615100000053644,0
measured,context,wrong_consumer_id,22,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',2.3969999998807907,0
measured,context,wrong_consumer_id,23,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',2.6206999998539686,0
measured,context,wrong_consumer_id,24,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',2.4725000001490116,0
measured,context,wrong_consumer_id,25,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',2.343500000424683,0
measured,context,wrong_consumer_id,26,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',2.7280000001192093,0
measured,context,wrong_consumer_id,27,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',2.834099999628961,0
measured,context,wrong_consumer_id,28,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',2.2919000005349517,0
measured,context,wrong_consumer_id,29,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(2)',2.46860000025481,0
measured,context,wrong_consumer_address,0,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",3.012699999846518,0
measured,context,wrong_consumer_address,1,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",3.81349999923259,0
measured,context,wrong_consumer_address,2,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",2.74379999935627,0
measured,context,wrong_consumer_address,3,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",3.745899999514222,0
measured,context,wrong_consumer_address,4,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",2.421800000593066,0
measured,context,wrong_consumer_address,5,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",2.2990999994799495,0
measured,context,wrong_consumer_address,6,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",2.563799999654293,0
measured,context,wrong_consumer_address,7,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",2.739599999971688,0
measured,context,wrong_consumer_address,8,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",2.926099999807775,0
measured,context,wrong_consumer_address,9,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",3.551699999719858,0
measured,context,wrong_consumer_address,10,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",3.7683999994769692,0
measured,context,wrong_consumer_address,11,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",2.2006999999284744,0
measured,context,wrong_consumer_address,12,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",2.083700000308454,0
measured,context,wrong_consumer_address,13,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",2.2990000005811453,0
measured,context,wrong_consumer_address,14,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",2.2253999998793006,0
measured,context,wrong_consumer_address,15,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",2.123199999332428,0
measured,context,wrong_consumer_address,16,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",2.307400000281632,0
measured,context,wrong_consumer_address,17,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",2.556400000117719,0
measured,context,wrong_consumer_address,18,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",2.3292999994009733,0
measured,context,wrong_consumer_address,19,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",2.183200000785291,0
measured,context,wrong_consumer_address,20,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",2.0565999997779727,0
measured,context,wrong_consumer_address,21,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",2.8788999998942018,0
measured,context,wrong_consumer_address,22,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",2.3162000002339482,0
measured,context,wrong_consumer_address,23,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",2.135400000028312,0
measured,context,wrong_consumer_address,24,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",2.2094999998807907,0
measured,context,wrong_consumer_address,25,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",2.0594999995082617,0
measured,context,wrong_consumer_address,26,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",3.267799999564886,0
measured,context,wrong_consumer_address,27,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",1.9664000002667308,0
measured,context,wrong_consumer_address,28,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",2.260800000280142,0
measured,context,wrong_consumer_address,29,0,1,settlement,"VM Exception while processing transaction: reverted with custom error 'WrongConsumer(""0x70997970C51812dc3A010C7d01b50e0d17dc79C8"", ""0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC"")'",2.091300000436604,0
measured,context,wrong_policy,0,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',3.2261999994516373,0
measured,context,wrong_policy,1,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',4.761099999770522,0
measured,context,wrong_policy,2,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',2.7314999997615814,0
measured,context,wrong_policy,3,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',3.3501999992877245,0
measured,context,wrong_policy,4,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',2.3541999999433756,0
measured,context,wrong_policy,5,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',2.2189000006765127,0
measured,context,wrong_policy,6,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',2.3811999997124076,0
measured,context,wrong_policy,7,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',2.902300000190735,0
measured,context,wrong_policy,8,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',2.7948000002652407,0
measured,context,wrong_policy,9,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',2.5067999996244907,0
measured,context,wrong_policy,10,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',2.4605999998748302,0
measured,context,wrong_policy,11,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',4.311000000685453,0
measured,context,wrong_policy,12,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',2.633699999190867,0
measured,context,wrong_policy,13,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',2.507000000216067,0
measured,context,wrong_policy,14,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',2.824200000613928,0
measured,context,wrong_policy,15,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',2.569500000216067,0
measured,context,wrong_policy,16,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',3.3536000000312924,0
measured,context,wrong_policy,17,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',3.2892999993637204,0
measured,context,wrong_policy,18,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',2.3092000000178814,0
measured,context,wrong_policy,19,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',3.1013000002130866,0
measured,context,wrong_policy,20,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',2.471000000834465,0
measured,context,wrong_policy,21,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',2.202399999834597,0
measured,context,wrong_policy,22,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',3.8516999995335937,0
measured,context,wrong_policy,23,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',2.4962999997660518,0
measured,context,wrong_policy,24,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',2.6188999991863966,0
measured,context,wrong_policy,25,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',2.595599999651313,0
measured,context,wrong_policy,26,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',2.4490999998524785,0
measured,context,wrong_policy,27,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',2.4833999993279576,0
measured,context,wrong_policy,28,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',2.1530999997630715,0
measured,context,wrong_policy,29,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(3)',2.736999999731779,0
measured,context,wrong_function,0,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(5)',4.410400000400841,0
measured,context,wrong_function,1,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(5)',3.5897999992594123,0
measured,context,wrong_function,2,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(5)',3.735100000165403,0
measured,context,wrong_function,3,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(5)',3.58530000038445,0
measured,context,wrong_function,4,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(5)',2.3431000001728535,0
measured,context,wrong_function,5,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(5)',2.4417000003159046,0
measured,context,wrong_function,6,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(5)',2.8259999994188547,0
measured,context,wrong_function,7,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(5)',2.2611000007018447,0
measured,context,wrong_function,8,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(5)',2.596499999985099,0
measured,context,wrong_function,9,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(5)',2.5236999997869134,0
measured,context,wrong_function,10,0,1,settlement,VM Exception while processing transaction: reverted with custom error 'ContextMismatch(5)',2.900099999271333,0
